title,release_year,popularity
Toy Story,1995,21.95
Jumanji,1995,17.02
Grumpier Old Men,1995,11.71
Waiting to Exhale,1995,3.86
Father of the Bride Part II,1995,8.39
Heat,1995,17.92
Sabrina,1995,6.68
Tom and Huck,1995,2.56
Sudden Death,1995,5.23
GoldenEye,1995,14.69
The American President,1995,6.32
Dracula: Dead and Loving It,1995,5.43
Balto,1995,12.14
Nixon,1995,5.09
Cutthroat Island,1995,7.28
Casino,1995,10.14
Sense and Sensibility,1995,10.67
Four Rooms,1995,9.03
Ace Ventura: When Nature Calls,1995,8.21
Money Train,1995,7.34
Get Shorty,1995,12.67
Copycat,1995,10.7
Assassins,1995,11.07
Powder,1995,12.13
Leaving Las Vegas,1995,10.33
Othello,1995,1.85
Now and Then,1995,8.68
Persuasion,1995,2.23
The City of Lost Children,1995,9.82
Shanghai Triad,1995,1.1
Dangerous Minds,1995,9.48
Twelve Monkeys,1995,12.3
Wings of Courage,1996,0.75
Babe,1995,14.4
Carrington,1995,1.49
Dead Man Walking,1995,6.89
Across the Sea of Time,1995,0.11
It Takes Two,1995,7.78
Clueless,1995,9.88
"Cry, the Beloved Country",1995,0.89
Richard III,1995,4.56
Dead Presidents,1995,9.88
Restoration,1995,10.98
Mortal Kombat,1995,10.87
To Die For,1995,10.45
How To Make An American Quilt,1995,4.49
Se7en,1995,18.46
Pocahontas,1995,13.28
When Night Is Falling,1995,3.3
The Usual Suspects,1995,16.3
Guardian Angel,1994,0.6
Mighty Aphrodite,1995,15.9
Lamerica,1994,1.36
The Big Green,1995,5.98
Georgia,1995,4.09
Kids of the Round Table,1997,0.31
Home for the Holidays,1995,8.42
The Postman,1994,10.17
The Confessional,1995,0.12
The Indian in the Cupboard,1995,10.67
Eye for an Eye,1996,4.73
Mr. Holland's Opus,1995,7.14
Don't Be a Menace to South Central While Drinking Your Juice in the Hood,1996,11.7
Two If by Sea,1996,2.17
Bio-Dome,1996,6.39
Lawnmower Man 2: Beyond Cyberspace,1996,2.5
Two Bits,1995,4.05
French Twist,1995,2.52
Friday,1995,14.57
From Dusk Till Dawn,1996,15.34
Fair Game,1995,5.91
Kicking and Screaming,1995,3.37
Les Miserables,1995,1.48
Bed of Roses,1996,10.41
Big Bully,1996,2.94
Screamers,1995,12.76
