title,vote_count,vote_average
Toy Story,5415,7.7
Jumanji,2413,6.9
Grumpier Old Men,92,6.5
Waiting to Exhale,34,6.1
Father of the Bride Part II,173,5.7
Heat,1886,7.7
Sabrina,141,6.2
Tom and Huck,45,5.4
Sudden Death,174,5.5
GoldenEye,1194,6.6
The American President,199,6.5
Dracula: Dead and Loving It,210,5.7
Balto,423,7.1
Nixon,72,7.1
Cutthroat Island,137,5.7
Casino,1343,7.8
Sense and Sensibility,364,7.2
Four Rooms,539,6.5
Ace Ventura: When Nature Calls,1128,6.1
Money Train,224,5.4
Get Shorty,305,6.4
Copycat,199,6.5
Assassins,394,6.0
Powder,143,6.3
Leaving Las Vegas,365,7.1
Othello,33,7.0
Now and Then,91,6.6
Persuasion,36,7.4
The City of Lost Children,308,7.6
Shanghai Triad,17,6.5
Dangerous Minds,249,6.4
Twelve Monkeys,2470,7.4
Wings of Courage,4,6.8
Babe,756,6.0
Carrington,16,6.4
Dead Man Walking,350,7.3
Across the Sea of Time,2,3.5
It Takes Two,149,6.1
Clueless,828,6.9
"Cry, the Beloved Country",13,6.7
Richard III,50,6.9
Dead Presidents,80,6.6
Restoration,30,6.3
Mortal Kombat,452,5.4
To Die For,177,6.7
How To Make An American Quilt,38,6.5
Se7en,5915,8.1
Pocahontas,1509,6.7
When Night Is Falling,10,5.9
The Usual Suspects,3334,8.1
Guardian Angel,3,6.3
Mighty Aphrodite,145,6.7
Lamerica,11,7.7
The Big Green,41,5.2
Georgia,15,6.1
Kids of the Round Table,1,3.0
Home for the Holidays,39,6.3
The Postman,181,7.6
The Confessional,2,6.5
The Indian in the Cupboard,136,5.9
Eye for an Eye,65,5.8
Mr. Holland's Opus,115,6.9
Don't Be a Menace to South Central While Drinking Your Juice in the Hood,192,6.2
Two If by Sea,14,4.5
Bio-Dome,110,4.4
Lawnmower Man 2: Beyond Cyberspace,32,2.8
Two Bits,11,5.4
French Twist,43,6.0
Friday,513,7.0
From Dusk Till Dawn,1644,6.9
Fair Game,54,4.1
Kicking and Screaming,36,7.0
Les Miserables,8,6.6
Bed of Roses,27,5.1
Big Bully,16,3.9
Screamers,154,6.1
Nico Icon,3,7.3
The Crossing Guard,74,6.1
The Juror,91,5.5
The White Balloon,20,7.5
Things to Do in Denver When You're Dead,87,6.7
Antonia's Line,26,7.2
Once Upon a Time... When We Were Colored,2,4.5
Last Summer in the Hamptons,0,0.0
Angels and Insects,17,6.3
White Squall,86,6.3
Dunston Checks In,59,5.1
Black Sheep,124,6.0
Nick of Time,190,6.1
The Journey of August King,3,6.7
Mary Reilly,77,5.7
Vampire in Brooklyn,113,4.5
Beautiful Girls,103,6.6
Broken Arrow,459,5.7
A Midwinter's Tale,6,7.5
La Haine,695,7.9
Shopping,13,5.6
Heidi Fleiss: Hollywood Madam,4,6.8
City Hall,67,6.0
Bottle Rocket,285,6.8
Mr. Wrong,16,3.3
Unforgettable,22,5.3
Happy Gilmore,767,6.5
The Bridges of Madison County,397,7.3
Nobody Loves Me,5,5.1
Muppet Treasure Island,93,6.5
Catwalk,2,7.0
Headless Body in Topless Bar,0,0.0
Braveheart,3404,7.7
Taxi Driver,2632,8.1
Rumble in the Bronx,245,6.5
Before and After,37,5.8
Margaret's Museum,2,7.5
Happiness Is in the Field,23,7.0
Anne Frank Remembered,4,7.3
The Young Poisoner's Handbook,19,6.9
If Lucy Fell,11,5.4
Steal Big Steal Little,7,5.1
Race the Sun,21,5.2
The Boys of St. Vincent,7,7.0
Boomerang,139,5.4
Chungking Express,249,7.9
The Star Maker,29,6.8
Flirting with Disaster,66,6.3
The Neverending Story III: Escape from Fantasia,105,4.4
The Silences of the Palace,3,4.3
Jupiter's Wife,0,0.0
Pie in the Sky,2,7.0
Angela,9,5.6
Frankie Starlight,4,5.4
Jade,45,5.1
Nueba Yol,1,5.5
Sonic Outlaws,0,0.0
Down Periscope,110,5.6
From the Journals of Jean Seberg,2,6.5
Man of the Year,2,3.8
The Neon Bible,5,7.2
Target,0,0.0
Up Close & Personal,51,5.9
The Birdcage,303,6.7
Virgin Mary,2,7.0
The Brothers McMullen,23,6.3
Bad Boys,1729,6.5
The Amazing Panda Adventure,31,5.0
The Basketball Diaries,472,7.2
An Awfully Big Adventure,11,6.0
Amateur,21,6.5
Apollo 13,1637,7.3
Rob Roy,151,6.5
The Addiction,46,6.4
Batman Forever,1529,5.2
Belle de Jour,163,7.3
Beyond Rangoon,21,6.4
Blue in the Face,28,6.8
Canadian Bacon,57,5.9
Casper,1045,6.0
Clockers,69,6.8
Congo,214,5.0
Crimson Tide,508,7.0
Crumb,71,7.6
Desperado,898,6.8
Devil in a Blue Dress,88,6.3
Die Hard: With a Vengeance,2094,6.9
The Doom Generation,57,5.6
Feast of July,0,0.0
First Knight,319,5.9
Free Willy 2 - The Adventure Home,130,5.5
Hackers,406,6.2
Jeffrey,19,6.5
Johnny Mnemonic,380,5.5
Judge Dredd,643,5.4
Jury Duty,34,4.0
Kids,280,6.8
Living in Oblivion,64,7.2
Lord of Illusions,87,5.9
Love & Human Remains,7,7.0
Mad Love,27,5.5
Mallrats,400,6.8
Mighty Morphin Power Rangers: The Movie,153,5.2
Moonlight and Valentino,10,5.6
Mute Witness,36,6.4
Nadja,12,5.9
The Net,359,5.6
Nine Months,171,5.5
Party Girl,14,5.8
The Prophecy,139,6.4
Reckless,1,10.0
Safe,62,7.2
The Scarlet Letter,111,5.5
The Show,2,5.3
Showgirls,261,4.9
Smoke,115,7.2
Something to Talk About,60,5.7
Species,457,5.5
The Stars Fell on Henrietta,6,6.6
Strange Days,334,6.8
The Umbrellas of Cherbourg,119,7.6
The Tie That Binds,9,4.6
Three Wishes,18,6.1
Total Eclipse,112,6.5
"To Wong Foo, Thanks for Everything! Julie Newmar",117,6.3
Under Siege 2: Dark Territory,217,5.6
Unstrung Heroes,9,6.4
Unzipped,6,6.0
A Walk in the Clouds,168,6.5
Waterworld,1017,5.9
White Man's Burden,25,5.1
Wild Bill,27,5.9
The Browning Version,11,6.0
Bushwhacked,29,4.9
Burnt by the Sun,35,6.7
Before the Rain,45,7.7
Before Sunrise,984,7.7
Billy Madison,464,6.2
The Babysitter,27,4.7
Boys on the Side,48,6.3
The Cure,58,7.2
Castle Freak,40,5.8
Circle of Friends,30,6.5
Clerks,769,7.4
Don Juan DeMarco,184,6.3
Disclosure,217,5.9
Dream Man,1,2.5
Drop Zone,91,5.1
Destiny Turns on the Radio,9,5.3
Death and the Maiden,92,7.1
Dolores Claiborne,183,7.1
Dumb and Dumber,1894,6.5
Eat Drink Man Woman,76,7.5
Exotica,64,6.5
Exit to Eden,28,4.3
Ed Wood,639,7.3
French Kiss,179,6.2
Forget Paris,38,6.1
Far from Home: The Adventures of Yellow Dog,27,5.6
A Goofy Movie,404,6.7
Hideaway,24,5.0
Fluke,48,6.6
Farinelli,20,5.9
Gordy,4,3.0
