title,day_of_week
Toy Story,Monday
Jumanji,Friday
Grumpier Old Men,Friday
Waiting to Exhale,Friday
Father of the Bride Part II,Friday
Heat,Friday
Sabrina,Friday
Tom and Huck,Friday
Sudden Death,Friday
GoldenEye,Thursday
The American President,Friday
Dracula: Dead and Loving It,Friday
Balto,Friday
Nixon,Friday
Cutthroat Island,Friday
Casino,Wednesday
Sense and Sensibility,Wednesday
Four Rooms,Saturday
Ace Ventura: When Nature Calls,Friday
Money Train,Tuesday
Get Shorty,Friday
Copycat,Friday
Assassins,Friday
Powder,Friday
Leaving Las Vegas,Friday
Othello,Friday
Now and Then,Friday
Persuasion,Wednesday
The City of Lost Children,Tuesday
Shanghai Triad,Sunday
Dangerous Minds,Friday
Twelve Monkeys,Friday
Wings of Courage,Wednesday
Babe,Tuesday
Carrington,Wednesday
Dead Man Walking,Friday
Across the Sea of Time,Friday
It Takes Two,Friday
Clueless,Wednesday
"Cry, the Beloved Country",Friday
Richard III,Friday
Dead Presidents,Friday
Restoration,Friday
Mortal Kombat,Friday
To Die For,Saturday
How To Make An American Quilt,Friday
Se7en,Friday
Pocahontas,Wednesday
When Night Is Falling,Friday
The Usual Suspects,Wednesday
Guardian Angel,Tuesday
Mighty Aphrodite,Wednesday
Lamerica,Saturday
The Big Green,Friday
Georgia,Friday
Kids of the Round Table,Tuesday
Home for the Holidays,Thursday
The Postman,Thursday
The Confessional,Friday
The Indian in the Cupboard,Friday
Eye for an Eye,Friday
Mr. Holland's Opus,Friday
Don't Be a Menace to South Central While Drinking Your Juice in the Hood,Friday
Two If by Sea,Friday
Bio-Dome,Friday
Lawnmower Man 2: Beyond Cyberspace,Friday
Two Bits,Sunday
French Twist,Wednesday
Friday,Wednesday
From Dusk Till Dawn,Friday
Fair Game,Friday
Kicking and Screaming,Friday
Les Miserables,Wednesday
Bed of Roses,Friday
Big Bully,Friday
Screamers,Friday
Nico Icon,Saturday
The Crossing Guard,Wednesday
The Juror,Friday
The White Balloon,Sunday
Things to Do in Denver When You're Dead,Friday
Antonia's Line,Tuesday
Once Upon a Time... When We Were Colored,Friday
Last Summer in the Hamptons,Wednesday
Angels and Insects,Sunday
White Squall,Friday
Dunston Checks In,Friday
Black Sheep,Thursday
Nick of Time,Wednesday
The Journey of August King,Thursday
Mary Reilly,Friday
Vampire in Brooklyn,Thursday
Beautiful Girls,Friday
Broken Arrow,Friday
A Midwinter's Tale,Friday
La Haine,Wednesday
Shopping,Tuesday
Heidi Fleiss: Hollywood Madam,Wednesday
City Hall,Friday
Bottle Rocket,Wednesday
Mr. Wrong,Friday
Unforgettable,Friday
Happy Gilmore,Friday
The Bridges of Madison County,Sunday
Nobody Loves Me,Monday
Muppet Treasure Island,Friday
Catwalk,Friday
Headless Body in Topless Bar,Saturday
Braveheart,Wednesday
Taxi Driver,Saturday
Rumble in the Bronx,Monday
Before and After,Friday
Margaret's Museum,Wednesday
Happiness Is in the Field,Tuesday
Anne Frank Remembered,Thursday
The Young Poisoner's Handbook,Friday
If Lucy Fell,Friday
Steal Big Steal Little,Friday
Race the Sun,Friday
The Boys of St. Vincent,Sunday
Boomerang,Tuesday
Chungking Express,Thursday
The Star Maker,Thursday
Flirting with Disaster,Friday
The Neverending Story III: Escape from Fantasia,Wednesday
The Silences of the Palace,Friday
Jupiter's Wife,Sunday
Pie in the Sky,Friday
Angela,Sunday
Frankie Starlight,Wednesday
Jade,Friday
Nueba Yol,Wednesday
Sonic Outlaws,Tuesday
Down Periscope,Friday
From the Journals of Jean Seberg,Friday
Man of the Year,Friday
The Neon Bible,Wednesday
Target,Tuesday
Up Close & Personal,Friday
The Birdcage,Friday
Virgin Mary,Thursday
The Brothers McMullen,Wednesday
Bad Boys,Friday
The Amazing Panda Adventure,Friday
The Basketball Diaries,Friday
An Awfully Big Adventure,Friday
Amateur,Friday
Apollo 13,Friday
Rob Roy,Thursday
The Addiction,Tuesday
Batman Forever,Friday
Belle de Jour,Wednesday
Beyond Rangoon,Wednesday
Blue in the Face,Friday
Canadian Bacon,Thursday
Casper,Friday
Clockers,Friday
Congo,Friday
Crimson Tide,Friday
Crumb,Saturday
Desperado,Friday
Devil in a Blue Dress,Friday
Die Hard: With a Vengeance,Friday
The Doom Generation,Friday
Feast of July,Thursday
First Knight,Friday
Free Willy 2 - The Adventure Home,Wednesday
Hackers,Thursday
Jeffrey,Friday
Johnny Mnemonic,Friday
Judge Dredd,Friday
Jury Duty,Wednesday
Kids,Friday
Living in Oblivion,Friday
Lord of Illusions,Friday
Love & Human Remains,Thursday
Mad Love,Friday
Mallrats,Friday
Mighty Morphin Power Rangers: The Movie,Friday
Moonlight and Valentino,Friday
Mute Witness,Thursday
Nadja,Tuesday
The Net,Friday
Nine Months,Wednesday
Party Girl,Friday
The Prophecy,Friday
Reckless,Friday
Safe,Friday
The Scarlet Letter,Friday
The Show,Friday
Showgirls,Friday
Smoke,Friday
Something to Talk About,Friday
Species,Friday
The Stars Fell on Henrietta,Friday
Strange Days,Friday
The Umbrellas of Cherbourg,Wednesday
The Tie That Binds,Friday
Three Wishes,Friday
Total Eclipse,Thursday
"To Wong Foo, Thanks for Everything! Julie Newmar",Thursday
Under Siege 2: Dark Territory,Thursday
